class gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
1 -0.039800 0.225730 0.039315 0.397231 0.052350 0.278505
1 -0.029170 0.197805 0.042795 0.400286 0.040590 0.274283
1 -0.017995 0.178865 0.044870 0.402349 0.025565 0.246278
1 -0.004495 0.200822 0.048995 0.413834 0.014570 0.231700
1 -0.000860 0.182645 0.044875 0.408601 0.006020 0.237519
1 0.003875 0.178833 0.052480 0.400575 -0.000090 0.254737
1 0.013160 0.184042 0.063655 0.396081 -0.008580 0.288691
1 0.012425 0.183977 0.075965 0.369644 -0.014655 0.305111
1 0.009645 0.184706 0.089005 0.341308 -0.007565 0.307338
1 0.005340 0.177908 0.102140 0.307773 0.005815 0.316835
1 0.021860 0.132326 0.091935 0.331367 0.017265 0.355867
1 0.027325 0.104437 0.076330 0.275724 0.023190 0.363863
1 0.026590 0.104896 0.068020 0.285599 0.030065 0.358533
1 0.029890 0.100815 0.048230 0.220060 0.029640 0.359171
1 0.032060 0.103398 0.031490 0.213493 0.015100 0.300150
1 0.031695 0.102424 0.012950 0.209867 -0.003655 0.249988
1 0.033650 0.106297 -0.010020 0.266441 -0.019080 0.247571
1 0.031510 0.110793 -0.033200 0.383379 -0.034750 0.285213
1 0.021370 0.145602 -0.038485 0.389479 -0.046750 0.304923
1 0.010040 0.144780 -0.049940 0.393850 -0.056740 0.314518
1 0.004785 0.137448 -0.056570 0.399986 -0.056830 0.314569
1 0.003410 0.136076 -0.057915 0.397393 -0.051305 0.303884
1 0.000080 0.131439 -0.061915 0.395665 -0.036770 0.330368
1 -0.008685 0.100704 -0.068725 0.382490 -0.025405 0.348281
1 -0.001840 0.095204 -0.072575 0.388969 -0.011295 0.370867
1 -0.001685 0.095384 -0.080545 0.396547 0.003580 0.381305
1 -0.002445 0.092350 -0.090345 0.392285 0.020745 0.371653
1 0.002750 0.102208 -0.095475 0.386900 0.026730 0.354838
1 0.007730 0.105343 -0.100910 0.380213 0.017960 0.358562
1 0.010660 0.108348 -0.100180 0.382684 -0.002565 0.403007
1 0.014600 0.129729 -0.086985 0.372988 -0.023640 0.411264
1 0.011580 0.142118 -0.080360 0.375037 -0.037475 0.434962
1 0.004800 0.166474 -0.071805 0.368246 -0.051070 0.480117
1 -0.000425 0.176686 -0.062095 0.363681 -0.055625 0.495273
1 -0.009775 0.191738 -0.051710 0.343366 -0.055745 0.495471
1 -0.012190 0.187777 -0.039220 0.317273 -0.039465 0.524632
1 -0.014510 0.183307 -0.020955 0.239066 -0.024255 0.526331
1 -0.011850 0.178515 -0.000795 0.112577 -0.007305 0.493915
1 -0.005770 0.148198 0.002535 0.105885 0.005065 0.474448
1 -0.000795 0.136101 0.008095 0.090102 0.015605 0.465334
1 0.002565 0.138286 0.009595 0.085449 0.021895 0.476471
1 0.004765 0.141209 0.006390 0.085520 0.024860 0.480347
1 0.006965 0.143260 0.007430 0.084599 0.017500 0.446773
1 0.007055 0.143261 0.006910 0.085193 0.008915 0.424456
1 0.001065 0.146137 0.007580 0.083109 -0.000280 0.392077
1 0.000970 0.146026 0.011275 0.072641 -0.011610 0.368013
1 -0.005845 0.139464 0.016955 0.064620 -0.022635 0.346489
1 -0.006275 0.137823 0.021505 0.067320 -0.017505 0.355334
1 -0.008170 0.134244 0.029415 0.082927 -0.008800 0.352029
1 -0.009605 0.131862 0.030120 0.085535 0.010350 0.300294
1 -0.023470 0.110856 0.032900 0.100561 0.023790 0.253172
1 -0.019805 0.097021 0.035465 0.110178 0.037965 0.229078
1 -0.013695 0.073739 0.039465 0.126183 0.053760 0.187668
